Time,mean,std,cv
2002,17512.392517006803,2701.378697662898,0.15425526209736956
2003,17319.57420091324,2617.472572731142,0.15112799785765668
2004,17467.778916211293,2528.45852648807,0.14474985850327474
2005,17919.13470319635,2744.777502576789,0.1531757837663437
2006,17744.419891500904,2253.6889612310492,0.12700832008097968
2007,17375.072716894978,2637.3399481979773,0.15178871427879034
2008,16925.764116575592,2443.551312185837,0.14436874432114055
2009,15886.484474885845,2513.4160977457386,0.15821096868341597
2010,16232.285502283105,2602.930115044627,0.1603551215679714
2011,16149.632420091324,2451.3887030411875,0.15179222902878461
2012,16084.66689435337,2408.9019309081264,0.14976386808195497
2013,16065.84292237443,2397.4146916573545,0.14922433284334838
2014,15959.340753424658,2312.25354160667,0.14488402605918993
2015,15640.614155251142,2344.321173461293,0.1498867723601644
2016,15595.371926229509,2414.6870049986564,0.15483356321483094
2017,15078.880365296804,2172.8313141375215,0.14409765589348203
2018,15689.103424657535,2318.5539386682626,0.1477811622443857
2019,15422.540525114155,2265.8804352843936,0.14692005066186214
2020,15052.985428051003,2496.068755542615,0.1658188515144132
2021,15279.019406392694,2303.635846710211,0.15077118402941336
2022,15704.322488584476,2309.6082679550964,0.14706831635901252
2023,15654.192237442923,2146.791604565316,0.13713844649425294
2024,15985.561361566484,2273.138728805817,0.1421994934923614
